iter	Passed	Remaining
552	2636	2130
553	2640	2125
554	2643	2119
555	2646	2113
556	2650	2107
557	2654	2102
558	2658	2097
559	2660	2090
560	2663	2084
561	2666	2078
562	2671	2073
563	2673	2066
564	2676	2060
565	2680	2055
566	2683	2049
567	2686	2043
568	2689	2037
569	2693	2031
570	2695	2024
571	2698	2019
572	2701	2013
573	2705	2008
574	2708	2001
575	2712	1996
576	2715	1991
577	2720	1986
578	2723	1980
579	2727	1975
580	2730	1969
581	2733	1963
582	2736	1957
583	2741	1952
584	2745	1947
585	2750	1943
586	2754	1937
587	2758	1933
588	2763	1928
589	2768	1923
590	2772	1918
591	2776	1913
592	2782	1909
593	2786	1904
594	2791	1899
595	2796	1895
596	2799	1889
597	2804	1884
598	2808	1880
599	2812	1874
600	2815	1869
601	2820	1864
602	2825	1860
603	2830	1855
604	2833	1850
605	2838	1845
606	2842	1840
607	2846	1835
608	2851	1830
609	2854	1825
610	2858	1820
611	2862	1815
612	2867	1810
613	2871	1805
614	2876	1800
615	2879	1795
616	2884	1790
617	2888	1785
618	2892	1780
619	2895	1774
620	2900	1769
621	2904	1765
622	2908	1760
623	2911	1754
624	2915	1749
625	2919	1744
626	2924	1739
627	2928	1734
628	2933	1730
629	2937	1725
630	2941	1720
631	2945	1715
632	2949	1710
633	2954	1705
634	2957	1700
635	2961	1694
636	2965	1690
637	2970	1685
638	2973	1679
639	2978	1675
640	2983	1670
641	2987	1665
642	2991	1661
643	2996	1656
644	3000	1651
645	3005	1647
646	3010	1642
647	3014	1637
648	3018	1632
649	3023	1627
650	3028	1623
651	3032	1618
652	3035	1613
653	3039	1608
654	3045	1603
655	3048	1598
656	3052	1593
657	3055	1588
658	3060	1583
659	3064	1578
660	3068	1573
661	3072	1568
662	3076	1564
663	3081	1559
664	3086	1554
665	3090	1549
666	3094	1544
667	3099	1540
668	3103	1535
669	3107	1530
670	3111	1525
671	3115	1520
672	3120	1516
673	3124	1511
674	3128	1506
675	3131	1500
676	3136	1496
677	3141	1492
678	3146	1487
679	3149	1481
680	3153	1477
681	3157	1472
682	3162	1467
683	3166	1462
684	3171	1458
685	3174	1453
686	3178	1447
687	3181	1442
688	3184	1437
689	3186	1431
690	3189	1426
691	3195	1422
692	3214	1424
693	3222	1421
694	3226	1415
695	3228	1410
696	3238	1407
697	3248	1405
698	3251	1400
699	3255	1395
700	3262	1391
701	3265	1386
702	3269	1381
703	3273	1376
704	3275	1370
705	3278	1365
706	3281	1359
707	3284	1354
708	3286	1348
709	3289	1343
710	3292	1338
711	3295	1333
712	3297	1327
713	3299	1321
714	3303	1316
715	3306	1311
716	3308	1306
717	3311	1300
718	3314	1295
719	3323	1292
720	3330	1288
721	3332	1283
722	3337	1278
723	3342	1274
724	3347	1269
725	3353	1265
726	3356	1260
727	3358	1254
728	3364	1250
729	3372	1247
730	3378	1243
731	3381	1238
732	3386	1233
733	3389	1228
734	3391	1222
735	3394	1217
736	3397	1212
737	3404	1208
738	3410	1204
739	3421	1202
740	3433	1200
741	3437	1195
742	3443	1191
743	3449	1187
744	3454	1182
745	3459	1177
746	3464	1173
747	3469	1168
748	3472	1163
749	3478	1159
750	3482	1154
751	3486	1149
752	3491	1145
753	3496	1140
754	3500	1135
755	3505	1131
756	3509	1126
757	3514	1121
758	3518	1117
759	3525	1113
760	3529	1108
761	3533	1103
762	3539	1099
763	3543	1094
764	3548	1089
765	3553	1085
766	3557	1080
767	3561	1075
768	3566	1071
769	3572	1067
770	3576	1062
771	3582	1058
772	3587	1053
773	3590	1048
774	3593	1043
775	3598	1038
776	3603	1034
